Experimental,,LES,
X,Y,X,Y
0.030193236714975785,0.2684782608695652,0.0006916219816250069,0.40003287339048466
0.07004830917874386,0.20597826086956528,0.00839338775231388,0.37986825028177196
0.10990338164251204,0.15652173913043488,0.016795314047610865,0.36096391611735373
0.14975845410628016,0.11521739130434783,0.022396598244475457,0.347730882202261
0.1902173913043477,0.08532608695652188,0.027997882441340133,0.3340252399330578
0.23007246376811571,0.0690217391304348,0.03359916663820475,0.3206346698999283
0.26992753623188404,0.055978260869565144,0.03920045083506943,0.30740163598483555
0.3097826086956521,0.041847826086956585,0.04480173503193405,0.2941686020697428
0.3502415458937197,0.020108695652174102,0.05110317975340686,0.2795492503159261
0.3900966183574879,0.036956521739130443,0.05810478499948765,0.2642997540899621
0.42995169082125584,0.0304347826086957,0.06510639024556844,0.2496804023361453
0.4698067632850239,0.021739130434782705,0.07210799549164928,0.23594325284333478
0.5102657004830915,0.028260869565217228,0.08022985757710302,0.21966031968304928
0.54951690821256,0.03206521739130441,0.08821168755763512,0.2076812732675296
0.5899758454106278,0.004347826086956497,0.09731377437754016,0.19289538333178824
0.629830917874396,-0.009782608695652284,0.10501554014822903,0.1816878137914546
0.6696859903381639,-0.0010869565217390686,0.12391987431264725,0.15906562724136752
0.7101449275362316,-0.003260869565217206,0.13792308480480883,0.14545450664298643
0.7493961352657004,-0.0005434782608695343,0.15192629529697046,0.1308824157245807
0.7898550724637677,-0.005978260869565211,0.16608509701682275,0.1211464335725751
0.829710144927536,-0.0038043478260869623,0.17993271628129368,0.1122668977765634
0.8701690821256035,-0.005434782608695676,0.20233785306875227,0.09473524196013006
0.9100241545893716,-0.02119565217391295,0.22054202670856235,0.08441451210765388
0.9498792270531394,-0.04456521739130426,0.24154684244680477,0.07519112475010886
0.9891304347826083,-0.0451086956521739,0.26115133713583105,0.06756864988558348
1.0295893719806761,-0.057065217391304324,0.2765548686772088,0.0635739158379105
1.069444444444444,-0.06249999999999989,0.29195840021858654,0.05992671601427013
1.1099033816425117,-0.05978260869565222,0.30856966122856344,0.05506974437154777
1.1497584541062795,-0.0695652173913045,0.32304617702428406,0.05236500938864419
1.1896135265700478,-0.06467391304347814,0.3381689948427199,0.05173483787635558
1.229468599033816,-0.08369565217391295,0.35357252638409764,0.050359977209852524
1.269323671497584,-0.12391304347826115,0.3689760579254755,0.0491569741266622
1.3097826086956514,-0.1293478260869566,0.38437958946685324,0.04750992023448408
1.3496376811594195,-0.12391304347826082,0.399783121008231,0.045397398021335134
1.3894927536231878,-0.12065217391304339,0.41518665254960874,0.0422215658756353
1.4293478260869559,-0.11630434782608678,0.4263707207668749,0.040823286314423446
1.4698067632850236,-0.102173913043478,0.44039243143549966,0.03822691277778545
,,0.4557959629768775,0.03598357029083832
,,0.47119949451825527,0.033372507133564544
,,0.486603026059633,0.0295747572725098
,,0.503242134997378,0.026572191874119633
,,0.5161745117460214,0.025010422045111613
,,0.5332803943668385,0.021797405990641616
,,0.5482171522251441,0.017069859253762143
,,0.5628666647400209,0.013010342145985176
,,0.5790242153078997,0.00920581459252523
,,0.593823882114978,0.0064486385293212045
,,0.6058053553741589,0.003514464291813235
,,0.6196335257351685,0.002215464698558378
,,0.6350370572765462,0.0003828627228504855
,,0.650440588817924,-0.0001661522841379659
,,0.6664742648314491,-0.0018190975491941819
,,0.6799406855880779,-0.0033613454466796533
,,0.6976206364761302,-0.004249508048562056
,,0.7117213052098124,-0.005461426928775603
,,0.727458246524813,-0.0075560283665923045
,,0.7428617780661907,-0.00814798226466995
,,0.7581252775026468,-0.010123962567027744
,,0.7736688411489462,-0.012644922361357502
,,0.7890723726903238,-0.015289619615672545
,,0.8044759042317017,-0.0167381335321668
,,0.8199871527768653,-0.020442250549750907
,,0.8352829673144572,-0.023829901356541727
,,0.850686498855835,-0.027720651475305114
,,0.8660900303972129,-0.031157803141562912
,,0.8814935619385905,-0.03459495480782082
,,0.8968970934799684,-0.03774155538099
,,0.912300625021346,-0.04148245407040141
,,0.9277041565627239,-0.04461998050107285
,,0.9431076881041017,-0.04806741723046937
,,0.9585112196454794,-0.050864139361441185
,,0.9739147511868572,-0.0543254584310463
,,0.9893182827282351,-0.057907350598784935
,,1.0043717340073086,-0.06192509990095307
,,1.020425414607251,-0.06576418739906242
,,1.0362828963788693,-0.07061481450343798
,,1.051515875997586,-0.07388828170361017
,,1.0656357799105156,-0.07861692680760968
,,1.0808059246103574,-0.08261825882031515
,,1.0971430035178793,-0.0866678025516272
,,1.1125465350592572,-0.08964666732905069
,,1.1279500666006348,-0.09188081591211839
,,1.1433535981420127,-0.09400039277297734
,,1.1587571296833905,-0.09589082618941913
,,1.1741606612247681,-0.0980676889113824
,,1.189564192766146,-0.10076012438328441
,,1.2049677243075239,-0.10436913363285516
,,1.2203712558489015,-0.10929571768782476
,,1.2357747873902794,-0.11502430379825446
,,1.251178318931657,-0.1213257485197271
,,1.2669152602466576,-0.12740148554384034
,,1.2821254141193341,-0.13231317667953146
,,1.2973889135557903,-0.13604600256466803
,,1.31325921878024,-0.1372494750829053
,,1.328195976638546,-0.1391225560361291
,,1.3435995081799237,-0.14056937333304387
,,1.3590030397213015,-0.1409451157981677
,,1.3744065712626792,-0.1406310837118755
,,1.389810102804057,-0.1384865122070119
,,1.405213634345435,-0.1329738736109345
,,1.4206171658868125,-0.12553434978218958
,,1.435482112409261,-0.11593988527951438
,,1.4493237473957439,-0.10275940093582447
,,1.4634885333935843,-0.08974246440741174
,,1.475929847330851,-0.07818060726117648
